theme,series,name,unit,source,definition,primary,secondary,tertiary
Economy,LOAWFEIN,"Own-account workers, Female",Thousands,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Number of females that are own-account workers. Own-account workers are those workers who, working on their own account or with one or more partners, hold the type of jobs defined as a “self-employment jobs”, and have not engaged on a continuous basis any employees to work for them.",Own-account workers,,female
Economy,LOAWMAIN,"Own-account workers, Male",Thousands,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Number of females that are own-account workers. Own-account workers are those workers who, working on their own account or with one or more partners, hold the type of jobs defined as a “self-employment jobs”, and have not engaged on a continuous basis any employees to work for them.",Own-account workers,,male
Economy,LOAWTOIN,"Own-account workers, Total",Thousands,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Number of females that are own-account workers. Own-account workers are those workers who, working on their own account or with one or more partners, hold the type of jobs defined as a “self-employment jobs”, and have not engaged on a continuous basis any employees to work for them.",Own-account workers,,total
Economy,PTERFEIN,"Part-time employment rate, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females whose working hours total less than ""full time"", as a proportion of total employment.",Part-time employment rate,,female
Economy,PTERMAIN,"Part-time employment rate, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males whose working hours total less than ""full time"", as a proportion of total employment.",Part-time employment rate,,male
Economy,PTERTOIN,"Part-time employment rate, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females and males whose working hours total less than ""full time"", as a proportion of total employment.",Part-time employment rate,,total
Economy,LFSFFE15,"Share aged 15+ that are part of the labour force, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females ages 15+ that are members of a country's working-age population that engages actively in the labour market, either by working or looking for work",Labor force participation,"Age 15+, share",female
Economy,LFSFMA15,"Share aged 15+ that are part of the labour force, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males ages 15+ that are members of a country's working-age population that engages actively in the labour market, either by working or looking for work",Labor force participation,"Age 15+, share",male
Economy,LFSFTO15,"Share aged 15+ that are part of the labour force, Total, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males and females ages 15+ that are members of a country's working-age population that engages actively in the labour market, either by working or looking for work",Labor force participation,"Age 15+, share",total
Economy,LF15FE24,"Share aged 15-24 that are part of the labour force, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females ages 15-24 that are members of a country's working-age population that engages actively in the labour market, either by working or looking for work",Labor force participation,"Age 15-24, share",female
Economy,LF15MA24,"Share aged 15-24 that are part of the labour force, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males ages 15-24 that are members of a country's working-age population that engages actively in the labour market, either by working or looking for work",Labor force participation,"Age 15-24, share",male
Economy,LF15TO24,"Share aged 15-24 that are part of the labour force, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females and males ages 15-24 that are members of a country's working-age population that engages actively in the labour market, either by working or looking for work",Labor force participation,"Age 15-24, share",total
Economy,SEOFE0AB,"Share employed by occupation, 0 - Armed Forces occupations, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that have armed forces occupations.,Share employed by occupation,0 - Armed Forces occupations,female
Economy,SEOMA0AB,"Share employed by occupation, 0 - Armed Forces occupations, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that have armed forces occupations.,Share employed by occupation,0 - Armed Forces occupations,male
Economy,SEOTO0AB,"Share employed by occupation, 0 - Armed Forces occupations, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that have armed forces occupations.,Share employed by occupation,0 - Armed Forces occupations,total
Economy,SEOFE15A,"Share employed by occupation, 1A - Managers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that are Managers.,Share employed by occupation,1A - Managers,female
Economy,SEOMA15A,"Share employed by occupation, 1A - Managers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that are Managers.,Share employed by occupation,1A - Managers,male
Economy,SEOTO15A,"Share employed by occupation, 1A - Managers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that are Managers.,Share employed by occupation,1A - Managers,total
Economy,SEOFE15B,"Share employed by occupation, 1B - Legislators, senior officials and managers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of women that are Legislators, senior officials and managers.",Share employed by occupation,"1B - Legislators, senior officials and managers",female
Economy,SEOMA15B,"Share employed by occupation, 1B - Legislators, senior officials and managers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men that are Legislators, senior officials and managers.",Share employed by occupation,"1B - Legislators, senior officials and managers",male
Economy,SEOTO15B,"Share employed by occupation, 1B - Legislators, senior officials and managers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men and women that are Legislators, senior officials and managers.",Share employed by occupation,"1B - Legislators, senior officials and managers",total
Economy,SEOFE2AB,"Share employed by occupation, 2 - Professionals, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that are Professionals,Share employed by occupation,2 - Professionals,female
Economy,SEOMA2AB,"Share employed by occupation, 2 - Professionals, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that are Professionals,Share employed by occupation,2 - Professionals,male
Economy,SEOTO2AB,"Share employed by occupation, 2 - Professionals, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that are Professionals,Share employed by occupation,2 - Professionals,total
Economy,SEOFE3AB,"Share employed by occupation, 3 - Technicians and associate professionals, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that are Technicians and associate professionals,Share employed by occupation,3 - Technicians and associate professionals,female
Economy,SEOMA3AB,"Share employed by occupation, 3 - Technicians and associate professionals, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that are Technicians and associate professionals,Share employed by occupation,3 - Technicians and associate professionals,male
Economy,SEOTO3AB,"Share employed by occupation, 3 - Technicians and associate professionals, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that are Technicians and associate professionals,Share employed by occupation,3 - Technicians and associate professionals,total
Economy,SEOFE4AB,"Share employed by occupation, 4 - Clerical support workers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that are Clerical support workers,Share employed by occupation,4 - Clerical support workers,female
Economy,SEOMA4AB,"Share employed by occupation, 4 - Clerical support workers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that are Clerical support workers,Share employed by occupation,4 - Clerical support workers,male
Economy,SEOTO4AB,"Share employed by occupation, 4 - Clerical support workers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that are Clerical support workers,Share employed by occupation,4 - Clerical support workers,total
Economy,SEOFE5AB,"Share employed by occupation, 5 - Service and sales workers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that are service and sales workers.,Share employed by occupation,5 - Service and sales workers,female
Economy,SEOMA5AB,"Share employed by occupation, 5 - Service and sales workers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that are service and sales workers.,Share employed by occupation,5 - Service and sales workers,male
Economy,SEOTO5AB,"Share employed by occupation, 5 - Service and sales workers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that are service and sales workers.,Share employed by occupation,5 - Service and sales workers,total
Economy,SEOFE6AB,"Share employed by occupation, 6 - Skilled agricultural, forestry and fishery workers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of women that are skilled agricultural, forestry and fishery workers",Share employed by occupation,"6 - Skilled agricultural, forestry and fishery workers",female
Economy,SEOMA6AB,"Share employed by occupation, 6 - Skilled agricultural, forestry and fishery workers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men that are skilled agricultural, forestry and fishery workers",Share employed by occupation,"6 - Skilled agricultural, forestry and fishery workers",male
Economy,SEOTO6AB,"Share employed by occupation, 6 - Skilled agricultural, forestry and fishery workers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men and women that are skilled agricultural, forestry and fishery workers",Share employed by occupation,"6 - Skilled agricultural, forestry and fishery workers",total
Economy,SEOFE7AB,"Share employed by occupation, 7 - Craft and related trades workers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that are craft and related trades workers,Share employed by occupation,7 - Craft and related trades workers,female
Economy,SEOMA7AB,"Share employed by occupation, 7 - Craft and related trades workers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that are craft and related trades workers,Share employed by occupation,7 - Craft and related trades workers,male
Economy,SEOTO7AB,"Share employed by occupation, 7 - Craft and related trades workers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that are craft and related trades workers,Share employed by occupation,7 - Craft and related trades workers,total
Economy,SEOFE8AB,"Share employed by occupation, 8 - Plant and machine operators, and assemblers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that are plant and machine operators and assemblers,Share employed by occupation,"8 - Plant and machine operators, and assemblers",female
Economy,SEOMA8AB,"Share employed by occupation, 8 - Plant and machine operators, and assemblers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that are plant and machine operators and assemblers,Share employed by occupation,"8 - Plant and machine operators, and assemblers",male
Economy,SEOTO8AB,"Share employed by occupation, 8 - Plant and machine operators, and assemblers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that are plant and machine operators and assemblers,Share employed by occupation,"8 - Plant and machine operators, and assemblers",total
Economy,SEOFE9AB,"Share employed by occupation, 9 - Elementary occupations, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that have elementary occupations,Share employed by occupation,9 - Elementary occupations,female
Economy,SEOMA9AB,"Share employed by occupation, 9 - Elementary occupations, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that have elementary occupations,Share employed by occupation,9 - Elementary occupations,male
Economy,SEOTO9AB,"Share employed by occupation, 9 - Elementary occupations, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that have elementary occupations,Share employed by occupation,9 - Elementary occupations,total
Economy,SEOFEXAB,"Share employed by occupation, X - Workers Not Classifiable by Occupation, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women that are workers not classifiable by occupation,Share employed by occupation,X - Workers Not Classifiable by Occupation,female
Economy,SEOMAXAB,"Share employed by occupation, X - Workers Not Classifiable by Occupation, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men that are workers not classifiable by occupation,Share employed by occupation,X - Workers Not Classifiable by Occupation,male
Economy,SEOTOXAB,"Share employed by occupation, X - Workers Not Classifiable by Occupation, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women that are workers not classifiable by occupation,Share employed by occupation,X - Workers Not Classifiable by Occupation,total
Economy,SWESFEA3,"Share employed by sector, A - Agriculture, hunting and forestry, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of women employed in Agriculture, hunting and forestry",Share employed by sector (detailed),"A - Agriculture, hunting and forestry",female
Economy,SWESMAA3,"Share employed by sector, A - Agriculture, hunting and forestry, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men employed in Agriculture, hunting and forestry",Share employed by sector (detailed),"A - Agriculture, hunting and forestry",male
Economy,SWESTOA3,"Share employed by sector, A - Agriculture, hunting and forestry, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men and women employed in Agriculture, hunting and forestry",Share employed by sector (detailed),"A - Agriculture, hunting and forestry",total
Economy,SWESFEB3,"Share employed by sector, B - Fishing, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Fishing,Share employed by sector (detailed),B - Fishing,female
Economy,SWESMAB3,"Share employed by sector, B - Fishing, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Fishing,Share employed by sector (detailed),B - Fishing,male
Economy,SWESTOB3,"Share employed by sector, B - Fishing, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Fishing,Share employed by sector (detailed),B - Fishing,total
Economy,SWESFEC3,"Share employed by sector, C - Mining and quarrying, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Mining and quarrying,Share employed by sector (detailed),C - Mining and quarrying,female
Economy,SWESMAC3,"Share employed by sector, C - Mining and quarrying, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Mining and quarrying,Share employed by sector (detailed),C - Mining and quarrying,male
Economy,SWESTOC3,"Share employed by sector, C - Mining and quarrying, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Mining and quarrying,Share employed by sector (detailed),C - Mining and quarrying,total
Economy,SWESFED3,"Share employed by sector, D - Manufacturing, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Manufacturing,Share employed by sector (detailed),D - Manufacturing,female
Economy,SWESMAD3,"Share employed by sector, D - Manufacturing, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Manufacturing,Share employed by sector (detailed),D - Manufacturing,male
Economy,SWESTOD3,"Share employed by sector, D - Manufacturing, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Manufacturing,Share employed by sector (detailed),D - Manufacturing,total
Economy,SWESFEE3,"Share employed by sector, E - Electricity, gas and water supply, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of women employed in Electricity, gas and water supply",Share employed by sector (detailed),"E - Electricity, gas and water supply",female
Economy,SWESMAE3,"Share employed by sector, E - Electricity, gas and water supply, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men employed in Electricity, gas and water supply",Share employed by sector (detailed),"E - Electricity, gas and water supply",male
Economy,SWESTOE3,"Share employed by sector, E - Electricity, gas and water supply, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men and women employed in Electricity, gas and water supply",Share employed by sector (detailed),"E - Electricity, gas and water supply",total
Economy,SWESFEF3,"Share employed by sector, F - Construction, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Construction,Share employed by sector (detailed),F - Construction,female
Economy,SWESMAF3,"Share employed by sector, F - Construction, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Construction,Share employed by sector (detailed),F - Construction,male
Economy,SWESTOF3,"Share employed by sector, F - Construction, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Construction,Share employed by sector (detailed),F - Construction,total
Economy,SWESFEG3,"Share employed by sector, G - Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of women employed by in Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Share employed by sector (detailed),"G - Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",female
Economy,SWESMAG3,"Share employed by sector, G - Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men employed by in Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Share employed by sector (detailed),"G - Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",male
Economy,SWESTOG3,"Share employed by sector, G - Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men and women employed by in Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Share employed by sector (detailed),"G - Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",total
Economy,SWESFEH3,"Share employed by sector, H - Hotels and restaurants, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Hotels and restaurants,Share employed by sector (detailed),H - Hotels and restaurants,female
Economy,SWESMAH3,"Share employed by sector, H - Hotels and restaurants, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Hotels and restaurants,Share employed by sector (detailed),H - Hotels and restaurants,male
Economy,SWESTOH3,"Share employed by sector, H - Hotels and restaurants, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Hotels and restaurants,Share employed by sector (detailed),H - Hotels and restaurants,total
Economy,SWESFEI3,"Share employed by sector, I - Transport, storage and communications, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of women employed in Transport, storage and communications",Share employed by sector (detailed),"I - Transport, storage and communications",female
Economy,SWESMAI3,"Share employed by sector, I - Transport, storage and communications, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men employed in Transport, storage and communications",Share employed by sector (detailed),"I - Transport, storage and communications",male
Economy,SWESTOI3,"Share employed by sector, I - Transport, storage and communications, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men and women employed in Transport, storage and communications",Share employed by sector (detailed),"I - Transport, storage and communications",total
Economy,SWESFEJ3,"Share employed by sector, J - Financial intermediation, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Financial intermediation,Share employed by sector (detailed),J - Financial intermediation,female
Economy,SWESMAJ3,"Share employed by sector, J - Financial intermediation, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Financial intermediation,Share employed by sector (detailed),J - Financial intermediation,male
Economy,SWESTOJ3,"Share employed by sector, J - Financial intermediation, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Financial intermediation,Share employed by sector (detailed),J - Financial intermediation,total
Economy,SWESFEK3,"Share employed by sector, K - Real estate, renting and business activities, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of women employed in Real estate, renting and business activities",Share employed by sector (detailed),"K - Real estate, renting and business activities",female
Economy,SWESMAK3,"Share employed by sector, K - Real estate, renting and business activities, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men employed in Real estate, renting and business activities",Share employed by sector (detailed),"K - Real estate, renting and business activities",male
Economy,SWESTOK3,"Share employed by sector, K - Real estate, renting and business activities, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men and women employed in Real estate, renting and business activities",Share employed by sector (detailed),"K - Real estate, renting and business activities",total
Economy,SWESFEL3,"Share employed by sector, L - Public administration and defence; compulsory social security, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Public administration and defence; compulsory social security,Share employed by sector (detailed),L - Public administration and defence; compulsory social security,female
Economy,SWESMAL3,"Share employed by sector, L - Public administration and defence; compulsory social security, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Public administration and defence; compulsory social security,Share employed by sector (detailed),L - Public administration and defence; compulsory social security,male
Economy,SWESTOL3,"Share employed by sector, L - Public administration and defence; compulsory social security, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Public administration and defence; compulsory social security,Share employed by sector (detailed),L - Public administration and defence; compulsory social security,total
Economy,SWESFEM3,"Share employed by sector, M - Education, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Education,Share employed by sector (detailed),M - Education,female
Economy,SWESMAM3,"Share employed by sector, M - Education, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Education,Share employed by sector (detailed),M - Education,male
Economy,SWESTOM3,"Share employed by sector, M - Education, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Education,Share employed by sector (detailed),M - Education,total
Economy,SWESFEN3,"Share employed by sector, N - Health and social work, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed Health and social work,Share employed by sector (detailed),N - Health and social work,female
Economy,SWESMAN3,"Share employed by sector, N - Health and social work, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Health and social work,Share employed by sector (detailed),N - Health and social work,male
Economy,SWESTON3,"Share employed by sector, N - Health and social work, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed Health and social work,Share employed by sector (detailed),N - Health and social work,total
Economy,SWESFEO3,"Share employed by sector, O - Other community, social and personal services activities, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of women employed in Other community, social and personal services activities",Share employed by sector (detailed),"O - Other community, social and personal services activities",female
Economy,SWESMAO3,"Share employed by sector, O - Other community, social and personal services activities, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men employed in Other community, social and personal services activities",Share employed by sector (detailed),"O - Other community, social and personal services activities",male
Economy,SWESTOO3,"Share employed by sector, O - Other community, social and personal services activities, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of men and women employed in Other community, social and personal services activities",Share employed by sector (detailed),"O - Other community, social and personal services activities",total
Economy,SWESFEP3,"Share employed by sector, P - Private households with employed persons, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Private households with employed persons,Share employed by sector (detailed),P - Private households with employed persons,female
Economy,SWESMAP3,"Share employed by sector, P - Private households with employed persons, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Private households with employed persons,Share employed by sector (detailed),P - Private households with employed persons,male
Economy,SWESTOP3,"Share employed by sector, P - Private households with employed persons, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Private households with employed persons,Share employed by sector (detailed),P - Private households with employed persons,total
Economy,SWESFEQ3,"Share employed by sector, Q - Extra-territorial organizations and bodies, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in Extra-territorial organizations and bodies,Share employed by sector (detailed),Q - Extra-territorial organizations and bodies,female
Economy,SWESMAQ3,"Share employed by sector, Q - Extra-territorial organizations and bodies, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in Extra-territorial organizations and bodies,Share employed by sector (detailed),Q - Extra-territorial organizations and bodies,male
Economy,SWESTOQ3,"Share employed by sector, Q - Extra-territorial organizations and bodies, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Extra-territorial organizations and bodies,Share employed by sector (detailed),Q - Extra-territorial organizations and bodies,total
Economy,SWESFEX3,"Share employed by sector, X - Not classifiable by economic activity, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of women employed in in economic activity that is 'Not classifiable',Share employed by sector (detailed),X - Not classifiable by economic activity,female
Economy,SWESMAX3,"Share employed by sector, X - Not classifiable by economic activity, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men employed in economic activity that is 'Not classifiable',Share employed by sector (detailed),X - Not classifiable by economic activity,male
Economy,SWESTOX3,"Share employed by sector, X - Not classifiable by economic activity, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of men and women employed in Not classifiable by economic activity,Share employed by sector (detailed),X - Not classifiable by economic activity,total
Economy,SWEAFEIN,"Share employed in agriculture, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females in agriculture. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in agriculture,female
Economy,SWEAMAIN,"Share employed in agriculture, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males in agriculture. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in agriculture,male
Economy,SWEATOIN,"Share employed in agriculture, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females and males in agriculture. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in agriculture,total
Economy,SWEIFEIN,"Share employed in industry, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females in industry. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in industry,female
Economy,SWEIMAIN,"Share employed in industry, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males in industry. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in industry,male
Economy,SWEITOIN,"Share employed in industry, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females and males in industry. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in industry,total
Economy,SWESFEIN,"Share employed in services, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females in services. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in services,female
Economy,SWESMAIN,"Share employed in services, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males in services. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in services,male
Economy,SWESTOIN,"Share employed in services, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females and males in services. Employment is disaggregated into three broad sectors – agriculture, industry and services – and expresses each as a percentage of total employment.",Share employed by sector,in services,total
Economy,SCFWFEIN,"Share of contributing family workers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of female contributing family workers. Contributing family workers are those workers who hold “self-employment jobs” as own-account workers in a market-oriented establishment operated by a related person living in the same household.,Status in employment,"contributing family workers, share",female
Economy,SCFWMAIN,"Share of contributing family workers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of male contributing family workers. Contributing family workers are those workers who hold “self-employment jobs” as own-account workers in a market-oriented establishment operated by a related person living in the same household.,Status in employment,"contributing family workers, share",male
Economy,SCFWTOIN,"Share of contributing family workers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),Share of female and male contributing family workers. Contributing family workers are those workers who hold “self-employment jobs” as own-account workers in a market-oriented establishment operated by a related person living in the same household.,Status in employment,"contributing family workers, share",total
Economy,SOFEFEIN,"Share of employers, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females that are employers. Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a “self-employment jobs”.",Status in employment,"Employers, share",female
Economy,SOFEMAIN,"Share of employers, Male",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males and females that are employers. Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a “self-employment jobs”.",Status in employment,"Employers, share",male
Economy,SOFETOIN,"Share of employers, Total",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of males that are employers. Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a “self-employment jobs”.",Status in employment,"Employers, share",total
Economy,PP00FE15,"Share of labour force with pre-primary education, Female",%,International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),"Share of females in the labour force age 15+ with education delivered in kindergarten, nursery schools or infant classes or less than one year of schooling",Labor force education level,pre-primary education,female
